from_stop_id,from_stop_name,to_stop_id,to_stop_name,time_type,aggregated_mean,aggregated_sample_size,route_id,direction_id,route_mean,route_sample_size
9022005001268002,Stora Torget,9022005001243002,Kungsgatan,weekend,99.86,23183,9011005020600000,0,96.79,10760
9022005001315001,Solhaga,9022005000215001,Gamla Linköping,weekend,152.24,14290,9011005020300000,0,152.24,14290
9022005001338001,Alsättersgatan,9022005001341001,Hangaren,weekend,59.78,14264,9011005020300000,0,59.78,14264
9022005001339001,Björnkärrsskolan,9022005001338001,Alsättersgatan,weekend,56.85,14262,9011005020300000,0,56.85,14262
9022005001341001,Hangaren,9022005001343001,Mårdtorpsgatan,weekend,94.36,14275,9011005020300000,0,94.36,14275
9022005001343001,Mårdtorpsgatan,9022005000214001,Ryd centrum,weekend,87.35,15782,9011005020300000,0,85.31,14287
9022005001343001,Mårdtorpsgatan,9022005000214001,Ryd centrum,weekend,87.35,15782,9011005022600000,0,106.89,1495
9022005000046003,Trädgårdstorget,9022005001259001,Barnhemsgatan,am_rush,173.9,1806,9011005020300000,1,178.09,896
9022005000046003,Trädgårdstorget,9022005001259001,Barnhemsgatan,am_rush,173.9,1806,9011005020600000,1,169.77,910
9022005000214002,Ryd centrum,9022005001343002,Mårdtorpsgatan,am_rush,49.47,9475,9011005020300000,1,49.37,8890
9022005000214002,Ryd centrum,9022005001343002,Mårdtorpsgatan,am_rush,49.47,9475,9011005022600000,1,50.93,585
9022005000215002,Gamla Linköping,9022005001315002,Solhaga,am_rush,120.68,8889,9011005020300000,1,120.68,8889
9022005001243001,Kungsgatan,9022005001268001,Stora Torget,am_rush,102.31,14138,9011005020300000,1,102.94,7822
9022005001243001,Kungsgatan,9022005001268001,Stora Torget,am_rush,102.31,14138,9011005020600000,1,101.53,6316
9022005001253002,Parkgatan,9022005001254002,Vallaplan,am_rush,35.62,22145,9011005020300000,1,33.61,8886
9022005001253002,Parkgatan,9022005001254002,Vallaplan,am_rush,35.62,22145,9011005020600000,1,34.31,7360
9022005001253002,Parkgatan,9022005001254002,Vallaplan,am_rush,35.62,22145,9011005021200000,1,40.27,5899
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,am_rush,101.71,22146,9011005020300000,1,101.73,8887
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,am_rush,101.71,22146,9011005020600000,1,102.54,7360
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,am_rush,101.71,22146,9011005021200000,1,100.65,5899
9022005001259001,Barnhemsgatan,9022005001253002,Parkgatan,am_rush,129.05,16472,9011005020300000,1,127.94,8883
9022005001259001,Barnhemsgatan,9022005001253002,Parkgatan,am_rush,129.05,16472,9011005020600000,1,130.2,7359
9022005001259001,Barnhemsgatan,9022005001253002,Parkgatan,am_rush,129.05,16472,9011005021200000,1,135.27,230
9022005001268001,Stora Torget,9022005001259001,Barnhemsgatan,am_rush,130.22,14432,9011005020300000,1,134.38,7986
9022005001268001,Stora Torget,9022005001259001,Barnhemsgatan,am_rush,130.22,14432,9011005020600000,1,125.07,6446
9022005001315002,Solhaga,9022005000214002,Ryd centrum,am_rush,134.5,9476,9011005020300000,1,130.98,8891
9022005001315002,Solhaga,9022005000214002,Ryd centrum,am_rush,134.5,9476,9011005022600000,1,188.02,585
9022005001338002,Alsättersgatan,9022005001339002,Björnkärrsskolan,am_rush,35.93,8890,9011005020300000,1,35.93,8890
9022005001339002,Björnkärrsskolan,9022005000219001,Rydsvägens ändhållplats,am_rush,72.9,8890,9011005020300000,1,72.9,8890
9022005001341002,Hangaren,9022005001338002,Alsättersgatan,am_rush,44.95,8890,9011005020300000,1,44.95,8890
9022005001343002,Mårdtorpsgatan,9022005001341002,Hangaren,am_rush,77.31,8890,9011005020300000,1,77.31,8890
9022005000046003,Trädgårdstorget,9022005001259001,Barnhemsgatan,day,185.92,3762,9011005020300000,1,190.57,1961
9022005000046003,Trädgårdstorget,9022005001259001,Barnhemsgatan,day,185.92,3762,9011005020600000,1,180.86,1801
9022005000214002,Ryd centrum,9022005001343002,Mårdtorpsgatan,day,51.2,23398,9011005020300000,1,50.7,19810
9022005000214002,Ryd centrum,9022005001343002,Mårdtorpsgatan,day,51.2,23398,9011005022600000,1,53.96,3588
9022005000215002,Gamla Linköping,9022005001315002,Solhaga,day,125.95,19805,9011005020300000,1,125.95,19805
9022005001243001,Kungsgatan,9022005001268001,Stora Torget,day,120.05,30101,9011005020300000,1,121.81,17433
9022005001243001,Kungsgatan,9022005001268001,Stora Torget,day,120.05,30101,9011005020600000,1,117.63,12668
9022005001253002,Parkgatan,9022005001254002,Vallaplan,day,34.92,45003,9011005020300000,1,35.47,19797
9022005001253002,Parkgatan,9022005001254002,Vallaplan,day,34.92,45003,9011005020600000,1,33.43,14752
9022005001253002,Parkgatan,9022005001254002,Vallaplan,day,34.92,45003,9011005021200000,1,35.97,10454
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,day,99.24,45009,9011005020300000,1,100.07,19803
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,day,99.24,45009,9011005020600000,1,99.16,14752
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,day,99.24,45009,9011005021200000,1,97.78,10454
9022005001259001,Barnhemsgatan,9022005001253002,Parkgatan,day,127.1,34980,9011005020300000,1,125.79,19796
9022005001259001,Barnhemsgatan,9022005001253002,Parkgatan,day,127.1,34980,9011005020600000,1,128.52,14749
9022005001259001,Barnhemsgatan,9022005001253002,Parkgatan,day,127.1,34980,9011005021200000,1,138.31,435
9022005001268001,Stora Torget,9022005001259001,Barnhemsgatan,day,136.13,30774,9011005020300000,1,139.28,17830
9022005001268001,Stora Torget,9022005001259001,Barnhemsgatan,day,136.13,30774,9011005020600000,1,131.78,12944
9022005001315002,Solhaga,9022005000214002,Ryd centrum,day,143.95,23396,9011005020300000,1,135.88,19809
9022005001315002,Solhaga,9022005000214002,Ryd centrum,day,143.95,23396,9011005022600000,1,188.49,3587
9022005001338002,Alsättersgatan,9022005001339002,Björnkärrsskolan,day,40.54,19812,9011005020300000,1,40.54,19812
9022005001339002,Björnkärrsskolan,9022005000219001,Rydsvägens ändhållplats,day,58.54,19810,9011005020300000,1,58.54,19810
9022005001341002,Hangaren,9022005001338002,Alsättersgatan,day,52.99,19812,9011005020300000,1,52.99,19812
9022005001343002,Mårdtorpsgatan,9022005001341002,Hangaren,day,81.24,19812,9011005020300000,1,81.24,19812
9022005000046003,Trädgårdstorget,9022005001259001,Barnhemsgatan,night,173.04,4012,9011005020300000,1,176.76,2045
9022005000046003,Trädgårdstorget,9022005001259001,Barnhemsgatan,night,173.04,4012,9011005020600000,1,169.17,1967
9022005000214002,Ryd centrum,9022005001343002,Mårdtorpsgatan,night,52.65,17461,9011005020300000,1,52.61,16852
9022005000214002,Ryd centrum,9022005001343002,Mårdtorpsgatan,night,52.65,17461,9011005022600000,1,53.82,609
9022005000215002,Gamla Linköping,9022005001315002,Solhaga,night,126.27,16850,9011005020300000,1,126.27,16850
9022005001243001,Kungsgatan,9022005001268001,Stora Torget,night,113.62,27450,9011005020300000,1,118.29,14503
9022005001243001,Kungsgatan,9022005001268001,Stora Torget,night,113.62,27450,9011005020600000,1,108.38,12947
9022005001253002,Parkgatan,9022005001254002,Vallaplan,night,35.14,37472,9011005020300000,1,37.5,16848
9022005001253002,Parkgatan,9022005001254002,Vallaplan,night,35.14,37472,9011005020600000,1,33.04,15188
9022005001253002,Parkgatan,9022005001254002,Vallaplan,night,35.14,37472,9011005021200000,1,33.66,5436
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,night,100.19,37481,9011005020300000,1,99.02,16850
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,night,100.19,37481,9011005020600000,1,103.22,15187
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,night,100.19,37481,9011005021200000,1,95.36,5444
9022005001259001,Barnhemsgatan,9022005001253002,Parkgatan,night,117.83,32315,9011005020300000,1,118.7,16848
9022005001259001,Barnhemsgatan,9022005001253002,Parkgatan,night,117.83,32315,9011005020600000,1,116.79,15188
9022005001259001,Barnhemsgatan,9022005001253002,Parkgatan,night,117.83,32315,9011005021200000,1,121.46,279
9022005001268001,Stora Torget,9022005001259001,Barnhemsgatan,night,121.08,28025,9011005020300000,1,124.24,14804
9022005001268001,Stora Torget,9022005001259001,Barnhemsgatan,night,121.08,28025,9011005020600000,1,117.54,13221
9022005001315002,Solhaga,9022005000214002,Ryd centrum,night,139.33,17461,9011005020300000,1,138.05,16852
9022005001315002,Solhaga,9022005000214002,Ryd centrum,night,139.33,17461,9011005022600000,1,174.85,609
9022005001338002,Alsättersgatan,9022005001339002,Björnkärrsskolan,night,43.84,16853,9011005020300000,1,43.84,16853
9022005001339002,Björnkärrsskolan,9022005000219001,Rydsvägens ändhållplats,night,55.63,16852,9011005020300000,1,55.63,16852
9022005001341002,Hangaren,9022005001338002,Alsättersgatan,night,59.68,16853,9011005020300000,1,59.68,16853
9022005001343002,Mårdtorpsgatan,9022005001341002,Hangaren,night,85.72,16853,9011005020300000,1,85.72,16853
9022005000046003,Trädgårdstorget,9022005001259001,Barnhemsgatan,pm_rush,201.22,1327,9011005020300000,1,205.66,684
9022005000046003,Trädgårdstorget,9022005001259001,Barnhemsgatan,pm_rush,201.22,1327,9011005020600000,1,196.49,643
9022005000214002,Ryd centrum,9022005001343002,Mårdtorpsgatan,pm_rush,56.97,8420,9011005020300000,1,56.96,7209
9022005000214002,Ryd centrum,9022005001343002,Mårdtorpsgatan,pm_rush,56.97,8420,9011005022600000,1,57.04,1211
9022005000215002,Gamla Linköping,9022005001315002,Solhaga,pm_rush,141.19,7208,9011005020300000,1,141.19,7208
9022005001243001,Kungsgatan,9022005001268001,Stora Torget,pm_rush,129.9,11720,9011005020300000,1,131.6,6391
9022005001243001,Kungsgatan,9022005001268001,Stora Torget,pm_rush,129.9,11720,9011005020600000,1,127.87,5329
9022005001253002,Parkgatan,9022005001254002,Vallaplan,pm_rush,39.98,17523,9011005020300000,1,41.29,7209
9022005001253002,Parkgatan,9022005001254002,Vallaplan,pm_rush,39.98,17523,9011005020600000,1,38.98,6087
9022005001253002,Parkgatan,9022005001254002,Vallaplan,pm_rush,39.98,17523,9011005021200000,1,39.2,4227
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,pm_rush,101.88,17521,9011005020300000,1,100.76,7209
9022005001254002,Vallaplan,9022005000215002,Gamla Linköping,pm_rush,101.88,17521,9011005020600000,1,101.65,6083
